release_date,platform_split,count
2005-05-18,x86mswin32,1
2005-05-19,ruby,4
2005-05-20,ruby,2
2005-05-21,ruby,3
2005-05-22,ruby,3
2005-05-23,ruby,1
2005-05-23,x86linux,1
2005-05-24,ruby,3
2005-05-25,ruby,1
2005-05-26,ruby,1
2005-05-28,ruby,2
2005-05-29,ruby,1
2005-05-30,ruby,1
2005-05-31,ruby,1
2005-06-01,ruby,8
2005-06-02,ruby,3
2005-06-03,ruby,5
2005-06-04,ruby,5
2005-06-05,ruby,3
2005-06-06,ruby,1
2005-06-07,ruby,3
2005-06-07,x86linux,1
2005-06-07,x86mswin32,1
2005-06-08,powerpcdarwin,1
2005-06-08,ruby,5
2005-06-09,ruby,2
2005-06-10,ruby,2
2005-06-11,ruby,1
2005-06-11,x86mswin32,1
2005-06-12,ruby,7
2005-06-13,powerpcdarwin,1
2005-06-13,ruby,2
2005-06-13,x86linux,1
2005-06-14,ruby,4
2005-06-15,ruby,2
2005-06-16,ruby,5
2005-06-17,ruby,10
2005-06-17,x86mswin32,1
2005-06-18,ruby,3
2005-06-19,ruby,1
2005-06-20,ruby,4
2005-06-21,ruby,1
2005-06-22,ruby,1
2005-06-23,ruby,2
2005-06-24,ruby,4
2005-06-25,ruby,2
2005-06-26,ruby,2
2005-06-27,ruby,2
2005-06-28,ruby,1
2005-06-29,ruby,5
2005-07-01,ruby,4
2005-07-03,ruby,2
2005-07-04,ruby,2
2005-07-05,ruby,1
2005-07-06,ruby,6
2005-07-07,ruby,4
2005-07-10,ruby,2
2005-07-11,ruby,6
2005-07-12,ruby,4
2005-07-13,ruby,7
2005-07-14,ruby,3
2005-07-15,ruby,1
2005-07-17,ruby,6
2005-07-18,ruby,7
2005-07-20,ruby,2
2005-07-21,ruby,2
2005-07-22,ruby,2
2005-07-23,ruby,2
2005-07-24,ruby,4
2005-07-25,ruby,6
2005-07-26,ruby,3
2005-07-27,ruby,3
2005-07-28,ruby,3
2005-07-29,ruby,3
2005-07-30,ruby,4
2005-07-31,ruby,2
2005-08-01,ruby,7
2005-08-02,ruby,2
2005-08-03,ruby,2
2005-08-04,ruby,4
2005-08-05,ruby,3
2005-08-06,ruby,5
2005-08-07,ruby,2
2005-08-08,ruby,2
2005-08-09,ruby,5
2005-08-10,ruby,3
2005-08-11,ruby,6
2005-08-12,ruby,5
2005-08-13,ruby,6
2005-08-14,ruby,10
2005-08-15,ruby,2
2005-08-16,ruby,6
2005-08-17,ruby,5
2005-08-18,ruby,1
2005-08-19,ruby,3
2005-08-20,ruby,4
2005-08-21,ruby,2
2005-08-22,ruby,5
2005-08-23,ruby,2
2005-08-24,ruby,3
2005-08-25,ruby,4
2005-08-26,ruby,1
2005-08-27,ruby,1
2005-08-28,ruby,2
2005-08-29,ruby,4
2005-08-30,ruby,15
2005-08-31,ruby,1
2005-09-01,ruby,8
2005-09-02,ruby,7
2005-09-02,x86mswin32,1
2005-09-03,ruby,7
2005-09-05,ruby,6
2005-09-06,ruby,8
2005-09-07,ruby,2
2005-09-07,x86mswin32,1
2005-09-08,ruby,3
2005-09-09,ruby,6
2005-09-10,ruby,3
2005-09-11,ruby,7
2005-09-12,ruby,2
2005-09-13,ruby,5
2005-09-14,ruby,2
2005-09-15,ruby,8
2005-09-16,ruby,4
2005-09-17,ruby,3
2005-09-18,ruby,8
2005-09-19,ruby,2
2005-09-20,ruby,1
2005-09-21,ruby,3
2005-09-22,ruby,2
2005-09-23,ruby,3
2005-09-24,ruby,4
2005-09-25,ruby,5
2005-09-26,ruby,4
2005-09-27,ruby,4
2005-09-28,ruby,3
2005-09-29,ruby,4
2005-09-30,ruby,1
2005-10-01,ruby,3
2005-10-02,ruby,6
2005-10-03,ruby,1
2005-10-04,ruby,3
2005-10-05,ruby,4
2005-10-06,ruby,5
2005-10-07,ruby,3
2005-10-08,ruby,2
2005-10-09,ruby,6
2005-10-10,ruby,2
2005-10-11,ruby,4
2005-10-12,ruby,4
2005-10-13,ruby,5
2005-10-13,x86mswin32,1
2005-10-14,ruby,1
2005-10-15,ruby,1
2005-10-16,ruby,1
2005-10-17,ruby,13
2005-10-18,ruby,9
2005-10-19,ruby,9
2005-10-19,x86mswin32,1
2005-10-20,ruby,1
2005-10-20,x86mswin32,1
2005-10-21,ruby,5
2005-10-22,ruby,4
2005-10-23,ruby,6
2005-10-24,ruby,8
2005-10-25,ruby,13
2005-10-26,ruby,5
2005-10-27,ruby,4
2005-10-28,ruby,10
2005-10-29,ruby,3
2005-10-30,ruby,6
2005-10-31,ruby,5
2005-11-01,ruby,5
2005-11-02,ruby,5
2005-11-03,ruby,3
2005-11-03,x86linux,1
2005-11-04,ruby,4
2005-11-05,ruby,1
2005-11-06,ruby,9
2005-11-07,ruby,1
2005-11-08,ruby,5
2005-11-09,ruby,7
2005-11-09,x86mswin32,1
2005-11-10,ruby,2
2005-11-11,ruby,9
2005-11-11,x86linux,1
2005-11-11,x86mswin32,1
2005-11-12,ruby,1
2005-11-13,ruby,10
2005-11-14,ruby,8
2005-11-15,ruby,4
2005-11-15,x86linux,1
2005-11-15,x86mswin32,1
2005-11-16,ruby,9
2005-11-17,ruby,8
2005-11-18,ruby,5
2005-11-19,ruby,2
2005-11-20,ruby,3
2005-11-21,ruby,5
2005-11-22,ruby,3
2005-11-23,ruby,3
2005-11-24,ruby,1
2005-11-24,x86mswin32,1
2005-11-25,ruby,5
2005-11-26,ruby,5
2005-11-27,ruby,3
2005-11-27,x86linux,1
2005-11-27,x86mswin32,2
2005-11-28,ruby,6
2005-11-29,ruby,2
2005-11-30,ruby,2
2005-12-01,ruby,3
2005-12-02,ruby,6
2005-12-03,ruby,3
2005-12-04,ruby,1
2005-12-05,ruby,2
2005-12-06,ruby,5
2005-12-07,ruby,11
2005-12-08,ruby,2
2005-12-09,ruby,5
2005-12-10,ruby,2
2005-12-11,ruby,1
2005-12-12,ruby,6
2005-12-12,x86linux,1
2005-12-12,x86mswin32,1
2005-12-13,ruby,7
2005-12-14,ruby,3
2005-12-15,ruby,2
2005-12-16,ruby,1
2005-12-17,ruby,6
2005-12-18,ruby,4
2005-12-19,ruby,4
2005-12-19,x86mswin32,1
2005-12-20,ruby,5
2005-12-20,x86mswin32,1
2005-12-21,ruby,8
2005-12-21,x86mswin32,1
2005-12-22,ruby,2
2005-12-23,ruby,4
2005-12-24,ruby,2
2005-12-25,ruby,1
2005-12-28,ruby,4
2005-12-29,ruby,3
2005-12-29,x86mswin32,1
2005-12-30,ruby,1
2005-12-31,ruby,5
2006-01-02,ruby,6
2006-01-03,ruby,3
2006-01-04,ruby,5
2006-01-05,ruby,3
2006-01-06,ruby,1
2006-01-07,ruby,2
2006-01-08,ruby,7
2006-01-09,ruby,3
2006-01-10,ruby,3
2006-01-10,x86linux,2
2006-01-11,ruby,3
2006-01-12,ruby,2
2006-01-13,ruby,1
2006-01-14,ruby,1
2006-01-14,x86mswin32,1
2006-01-15,ruby,6
2006-01-16,ruby,3
2006-01-17,ruby,6
2006-01-18,ruby,4
2006-01-19,ruby,6
2006-01-20,ruby,7
2006-01-21,ruby,4
2006-01-22,ruby,6
2006-01-23,ruby,9
2006-01-24,ruby,5
2006-01-25,ruby,4
2006-01-26,powerpcdarwin,1
2006-01-26,ruby,3
2006-01-27,ruby,3
2006-01-28,ruby,4
2006-01-29,ruby,1
2006-01-30,ruby,3
2006-01-31,ruby,4
2006-02-01,ruby,8
2006-02-02,ruby,6
2006-02-03,ruby,6
2006-02-04,ruby,2
2006-02-05,ruby,11
2006-02-06,ruby,4
2006-02-08,ruby,5
2006-02-09,ruby,5
2006-02-10,ruby,3
2006-02-11,ruby,1
2006-02-12,ruby,8
2006-02-13,ruby,9
2006-02-14,ruby,3
2006-02-15,ruby,6
2006-02-16,ruby,2
2006-02-17,ruby,2
2006-02-18,ruby,6
2006-02-19,ruby,4
2006-02-20,ruby,9
2006-02-20,x86mswin32,1
2006-02-21,ruby,6
2006-02-22,ruby,6
2006-02-23,ruby,8
2006-02-24,ruby,6
2006-02-24,x86mswin32,1
2006-02-25,ruby,12
2006-02-26,ruby,8
2006-02-27,ruby,12
2006-02-28,ruby,6
2006-03-01,ruby,3
2006-03-02,ruby,7
2006-03-03,ruby,8
2006-03-04,ruby,4
2006-03-05,ruby,6
2006-03-05,x86mswin32,1
2006-03-06,ruby,12
2006-03-07,ruby,7
2006-03-08,ruby,3
2006-03-09,ruby,4
2006-03-10,ruby,5
2006-03-11,x86mswin32,1
2006-03-12,ruby,9
2006-03-13,ruby,5
2006-03-14,ruby,4
2006-03-15,ruby,11
2006-03-16,ruby,4
2006-03-17,ruby,4
2006-03-18,ruby,6
2006-03-19,ruby,5
2006-03-20,ruby,2
2006-03-21,ruby,6
2006-03-22,ruby,7
2006-03-23,ruby,5
2006-03-24,ruby,6
2006-03-25,ruby,1
2006-03-26,ruby,2
2006-03-27,ruby,9
2006-03-28,ruby,5
2006-03-29,ruby,6
2006-03-30,ruby,4
