gem_name,dependency_type,count
rdoc,development,12
money,runtime,12
appengine-apis,runtime,12
inochi,development,11
dm-transactions,runtime,11
hirb,runtime,11
aws-s3,runtime,11
dm-migrations,development,11
term-ansicolor,runtime,11
kramdown,runtime,11
state_machine,runtime,11
sugar-high,runtime,11
commander,runtime,11
gosu,runtime,11
guard,runtime,11
rails3_artifactor,runtime,11
json_pure,development,11
ruby_parser,runtime,11
rake-compiler,development,11
sanitize,runtime,11
rufus-tokyo,runtime,11
faraday_middleware,runtime,11
amqp,runtime,11
gibbler,runtime,11
prawn-layout,runtime,11
riak-client,runtime,11
rack-openid,runtime,11
mysql,runtime,11
memcached,runtime,11
camping,runtime,11
blockenspiel,runtime,11
rsolr,runtime,11
inherited_resources,runtime,11
oa-openid,runtime,11
monkey-lib,runtime,11
caesars,runtime,11
riddle,runtime,11
net-scp,runtime,10
dm-is-tree,runtime,10
innate,runtime,10
handsoap,runtime,10
htmlentities,runtime,10
archive-tar-minitar,runtime,10
kelredd-useful,runtime,10
flexmock,runtime,10
patir,runtime,10
durran-validatable,runtime,10
johnson,runtime,10
sinatra,development,10
bones-extras,development,10
dm-cli,runtime,10
bluecloth,development,10
gruff,runtime,10
xmpp4r,runtime,10
fog,runtime,10
faraday,runtime,10
rdf,development,10
sequel,development,10
bluecloth,runtime,10
data_mapper,runtime,10
selenium-webdriver,runtime,10
capybara,development,10
dm-validations,development,10
friendly_id,runtime,10
chunky_png,runtime,10
plucky,runtime,10
oa-basic,runtime,10
gen,runtime,10
aws,runtime,10
bcrypt-ruby,runtime,10
maruku,runtime,9
markaby,runtime,9
bacon,development,9
smartcard,runtime,9
virtualbox,runtime,9
rufus-json,runtime,9
soap4r,runtime,9
rufus-scheduler,runtime,9
ferret,runtime,9
fakeweb,runtime,9
spreadsheet,runtime,9
memcache-client,development,9
firewatir,runtime,9
formatador,runtime,9
nanoc3,runtime,9
xamplr,runtime,9
mislav-will_paginate,runtime,9
rubyforge,development,9
english,runtime,9
oa-enterprise,runtime,9
ronin,runtime,9
authlogic,runtime,9
tem_ruby,runtime,9
wxruby,runtime,9
happymapper,runtime,9
timecop,development,9
facter,runtime,9
validation_reflection,runtime,9
heroku,runtime,9
bson_ext,development,9
commonwatir,runtime,9
redgreen,development,9
bertrpc,runtime,9
rainbows,runtime,9
gem_plugin,runtime,9
rev,runtime,9
dm-core,development,9
patron,runtime,9
ruby-nuggets,runtime,9
dm-types,development,8
jruby-rack,runtime,8
mini_magick,runtime,8
rtm-javatmapi,runtime,8
rest-client,development,8
vegas,runtime,8
pg,runtime,8
rprogram,runtime,8
delayed_job,runtime,8
cancan,runtime,8
cachetastic,runtime,8
shotgun,runtime,8
less,runtime,8
database_cleaner,development,8
sinatra-test-helper,development,8
fxruby,runtime,8
rack-mount,runtime,8
css_parser,runtime,8
merb-parts,runtime,8
application_configuration,runtime,8
refinerycms,runtime,8
ruby-mp3info,runtime,8
pdf-writer,runtime,8
win32-process,runtime,8
multipart-post,runtime,8
rails3_assist,runtime,8
newrelic_rpm,runtime,8
dm-is-remixable,runtime,8
thinking-sphinx,runtime,8
fabulator,runtime,8
searchlogic,runtime,8
selenium-client,runtime,8
usher,runtime,8
rubyless,runtime,8
picnic,runtime,8
git,runtime,8
spork,development,8
terminal-table,runtime,8
merb-builder,runtime,8
therubyracer,runtime,8
colored,runtime,8
ZenTest,development,8
fastthread,runtime,8
directory_watcher,runtime,8
bones,runtime,8
rails-app-spec,development,8
attributes,runtime,8
choice,runtime,8
appengine-jruby-jars,runtime,8
dnssd,runtime,8
mack-asset_packager,runtime,8
test-unit,runtime,8
soup,runtime,8
gemcutter,runtime,8
gettext_activerecord,runtime,8
has_messages,runtime,8
ohai,runtime,8
dm-aggregates,development,8
ruby-hmac,runtime,8
newgem,runtime,8
libxml-ruby,development,8
rufus-cloche,runtime,7
rich_cms,runtime,7
curb,development,7
less,development,7
rscm,runtime,7
rich_i18n,runtime,7
rb-appscript,runtime,7
rainbow,runtime,7
em-http-request,development,7
bert,runtime,7
generator-spec,development,7
needle,runtime,7
castle.core,runtime,7
fattr,runtime,7
datamapper,runtime,7
remarkable_activemodel,runtime,7
windows-api,runtime,7
leap,runtime,7
conversions,runtime,7
configurable,runtime,7
stringex,runtime,7
mongrel_cluster,runtime,7
contest,development,7
characterizable,runtime,7
optitron,runtime,7
taps,runtime,7
dm-sweatshop,runtime,7
flog,runtime,7
guard-rspec,development,7
loofah,runtime,7
rdiscount,development,7
do_sqlite3,development,7
launchy,development,7
genosaurus,runtime,7
sysinfo,runtime,7
jdbc-derby,runtime,7
om,runtime,7
growl,runtime,7
vlad,runtime,7
liquid,runtime,7
jetty,runtime,7
http_router,runtime,7
jruby-jars,runtime,7
dryml,runtime,7
rchardet,runtime,7
abundance,runtime,7
hobo_support,runtime,7
dm-do-adapter,runtime,7
multiarray,runtime,7
hobo_fields,runtime,7
glib2,runtime,7
sinatra-advanced-routes,runtime,7
hornetseye-frame,runtime,7
json-jruby,runtime,7
amalgalite,runtime,7
BlueCloth,runtime,7
bunny,runtime,7
simple-rss,runtime,7
png,runtime,7
require_all,runtime,7
mack-paths,runtime,7
promise,runtime,6
filander,runtime,6
diff-lcs,runtime,6
redis,development,6
syntax,runtime,6
orderedhash,runtime,6
ig3client,runtime,6
radiant,runtime,6
encrypted_strings,runtime,6
active_record,runtime,6
msgpack,runtime,6
postgres,runtime,6
rice,runtime,6
six-updater,runtime,6
prawn-security,runtime,6
buzzcore,runtime,6
shotgun,development,6
deprec,runtime,6
annoy,runtime,6
gtk2,runtime,6
win32-open3,runtime,6
sinatra-sugar,runtime,6
perennial,runtime,6
dm-sqlite-adapter,runtime,6
active_support,development,6
tap,development,6
rjack-tarpit,development,6
parameters,runtime,6
dango_generator,runtime,6
net-ssh-gateway,runtime,6
rghost,runtime,6
exifr,runtime,6
morph,runtime,6
acts_as_solr,runtime,6
riot_notifier,development,6
ruby-fedora,runtime,6
backports,runtime,6
plist,runtime,6
erubis,development,6
quality_extensions,runtime,6
builder,development,6
versionomy,runtime,6
ruby-debug,development,6
rpx_now,runtime,6
mcmire-matchy,development,6
rjack-slf4j,runtime,6
asf_scaffold_generator,runtime,6
em-websocket,runtime,6
vcr,development,6
locale_rails,runtime,6
extensions,runtime,6
log4net,runtime,6
cancan-permits,runtime,6
Antwrap,runtime,6
merb-jquery,runtime,6
sunspot_rails,runtime,6
gdata,runtime,6
mack_ruby_core_extensions,runtime,6
statsample,runtime,6
timeframe,runtime,6
win32-service,runtime,6
tioga,runtime,6
escape,runtime,6
yui-compressor,runtime,6
optiflag,runtime,6
cohort_scope,runtime,6
prawn,development,6
six-rsync,runtime,6
sqlite-ruby,runtime,6
mini_fb,runtime,6
libjtp,runtime,6
jdbc-postgres,runtime,6
koala,runtime,6
autotest,development,6
bones-git,development,6
ruby_ex,runtime,6
yaparc,runtime,6
watchr,development,6
logworm_amqp,development,6
gdk_pixbuf2,runtime,6
schacon-git,runtime,6
GeoRuby,runtime,6
activerdf,runtime,6
mash,runtime,6
minitest,runtime,6
data_miner,runtime,6
gli,runtime,6
logworm_amqp,runtime,6
ey_stonith,runtime,6
watir,runtime,6
coderay,development,6
sane,runtime,6
active-fedora,runtime,6
responders,runtime,6
eventual,runtime,6
shattered_support,runtime,6
pony,runtime,6
nunit,runtime,6
bond,runtime,6
autotest,runtime,6
rjack-jetty,runtime,6
sinatra_more,runtime,6
redparse,runtime,6
relax,runtime,6
cucumber-rails,development,6
icalendar,runtime,6
progressbar,runtime,6
codefumes,runtime,6
maruku,development,6
rack-cache,runtime,6
logging,development,6
code-spec,runtime,5
errata,runtime,5
ruby-ole,runtime,5
jekyll,runtime,5
rubyzip2,runtime,5
shoulda,runtime,5
test-spec,runtime,5
cloudfiles,runtime,5
pango,runtime,5
crack,development,5
savon,runtime,5
nest,runtime,5
httparty,development,5
flexmock,development,5
whenever,runtime,5
devise-links,runtime,5
mg,development,5
unicode,runtime,5
after_commit,runtime,5
boxgrinder-build-rpm-based-os-plugin,runtime,5
mysql,development,5
twitter4r,runtime,5
sys-uname,runtime,5
ruby-yadis,runtime,5
rubigen,development,5
hanna,development,5
tinder,runtime,5
rails-app-installer,runtime,5
jferris-mocha,development,5
roo,runtime,5
rmail,runtime,5
virtuozzo,runtime,5
prawn-format,runtime,5
cssmin,runtime,5
cancan-rest-links,runtime,5
jruby-openssl,runtime,5
ruby-graphviz,runtime,5
simplecov,development,5
activeldap,runtime,5
cgi_multipart_eof_fix,runtime,5
POpen4,runtime,5
little-plugger,runtime,5
tap-test,development,5
net-http-persistent,runtime,5
visionmedia-commander,runtime,5
wikitext,runtime,5
mutter,runtime,5
described_routes,runtime,5
apricoteatsgorilla,runtime,5
machinist,runtime,5
mkrf,runtime,5
right_http_connection,runtime,5
reek,development,5
harmony,runtime,5
lockfile,runtime,5
factory_girl,runtime,5
text-format,runtime,5
crypt,runtime,5
dm-sqlite-adapter,development,5
metric_fu,development,5
dm-active_model,runtime,5
querybuilder,runtime,5
qtext,runtime,5
formtastic,development,5
starling,runtime,5
mongomapper,runtime,5
mailfactory,runtime,5
closure-compiler,runtime,5
yajl-ruby,development,5
termcolor,runtime,5
awesome_print,runtime,5
fakefs,development,5
maildiode,runtime,5
stemmer,runtime,5
andand,runtime,5
em-spec,development,5
mongodb-mongo,runtime,5
cgen,runtime,5
lazydoc,runtime,5
ontomde-core,runtime,5
geokit,runtime,5
rbgccxml,runtime,5
rubycas-client,runtime,5
simple_uuid,runtime,5
ontomde-uml2,runtime,5
meta_programming,runtime,5
big_band,runtime,5
jruby_streaming_update_solr_server,runtime,5
archive-tar-minitar,development,5
termios,runtime,5
ore,development,5
ruby-opengl,runtime,5
autobuild,runtime,5
rjack-logback,development,5
sdoc,development,5
narray,runtime,5
jsmin,runtime,5
net-ldap,runtime,5
xmlcodec,runtime,5
metaid,runtime,5
session,runtime,5
SystemTimer,runtime,5
atk,runtime,5
thin,development,5
beanstalk-client,runtime,5
color,runtime,5
rutema,runtime,5
qui-common-helpers,runtime,5
dhaka,runtime,5
multi_json,runtime,5
autocode,runtime,5
sprout-flashplayer-bundle,runtime,5
facebooker,runtime,5
jnunemaker-matchy,development,5
mojombo-grit,runtime,5
bitescript,runtime,5
active_record,development,5
sprockets,runtime,5
ronin-web,runtime,5
kynetx_am_api,runtime,5
rdf-isomorphic,runtime,5
atom-tools,runtime,4
rally_rest_api,runtime,4
ambition,runtime,4
slf4r,runtime,4
ronn,development,4
ci_reporter,development,4
slf4j,runtime,4
djsun-mongo_mapper,runtime,4
ronn,runtime,4
simple-navigation,runtime,4
rc-rest,runtime,4
malloc,runtime,4
SyslogLogger,runtime,4
moneta,runtime,4
taps,development,4
comp_tree,runtime,4
mustache,development,4
query_string_filter,runtime,4
ansi,runtime,4
meta_where,runtime,4
typhoeus,development,4
tap-server,runtime,4
escape_utils,runtime,4
merb-freezer,runtime,4
semantic_naming,runtime,4
syntax,development,4
puppet,runtime,4
ticketmaster,runtime,4
bio,runtime,4
yamltest,runtime,4
aasm,runtime,4
machinist,development,4
rtm-ontopia,runtime,4
falls_back_on,runtime,4
addressable,development,4
require,runtime,4
